filename,privacy_blurs,date,time,lat,lng,datetime
8726.jpg,[],18-02-20,14:07,52.3443921,4.8407356,18-02-20 14:07
18649.jpg,[],18-02-20,14:07,52.3434669,4.8428123,18-02-20 14:07
22319.jpg,[],18-02-20,14:07,52.3425197,4.8428419,18-02-20 14:07
3335.jpg,[],18-02-20,14:07,52.3440989,4.8401779,18-02-20 14:07
18850.jpg,[],18-02-20,14:09,52.3469859,4.8476419,18-02-20 14:09
10854.jpg,[],18-02-20,14:10,52.349141,4.8510475,18-02-20 14:10
9692.jpg,[],18-02-20,14:13,52.3571954,4.8506952,18-02-20 14:13
24098.jpg,[],18-02-20,14:13,52.3557661,4.8503363,18-02-20 14:13
5116.jpg,[],18-02-20,14:13,52.3572729,4.8510229,18-02-20 14:13
6919.jpg,[],18-02-20,14:16,52.3510754,4.8515007,18-02-20 14:16
8197.jpg,['1 0.6240740740740741 0.4967105263157895 0.016666666666666666 0.08552631578947369\n'],18-02-20,14:17,52.3508117,4.8537638,18-02-20 14:17
23932.jpg,[],18-02-20,14:20,52.3500035,4.853358,18-02-20 14:20
5955.jpg,[],18-02-20,14:21,52.3507767,4.8535666,18-02-20 14:21
9421.jpg,"['0 0.94213 0.507401 0.0138889 0.0805921\n', '0 0.829167 0.473684 0.0268519 0.0526316\n', '0 0.805556 0.478618 0.0203704 0.0361842\n']",18-02-20,14:24,52.3528826,4.8561126,18-02-20 14:24
18226.jpg,[],18-02-20,14:25,52.353836,4.854195,18-02-20 14:25
5752.jpg,[],18-02-20,14:26,52.3532454,4.8534694,18-02-20 14:26
21606.jpg,[],18-02-20,14:26,52.3536005,4.8557222,18-02-20 14:26
16052.jpg,[],18-02-20,14:26,52.3535888,4.8558688,18-02-20 14:26
16303.jpg,[],18-02-20,14:27,52.3531289,4.8557884,18-02-20 14:27
14028.jpg,['0 0.519444 0.585526 0.0444444 0.0592105\n'],18-02-20,14:28,52.3518275,4.8531181,18-02-20 14:28
21332.jpg,['0 0.52037 0.578947 0.0425926 0.0592105\n'],18-02-20,14:28,52.3518395,4.853128,18-02-20 14:28
18097.jpg,['0 0.521296 0.581414 0.0444444 0.0608553\n'],18-02-20,14:29,52.3518395,4.853128,18-02-20 14:29
1630.jpg,['0 0.523148 0.583882 0.0444444 0.0625\n'],18-02-20,14:30,52.3518522,4.8530706,18-02-20 14:30
6664.jpg,[],18-02-20,14:31,52.3518371,4.8531314,18-02-20 14:31
5288.jpg,[],18-02-20,14:37,52.352881,4.8616796,18-02-20 14:37
2748.jpg,[],18-02-20,14:38,52.3543901,4.8675048,18-02-20 14:38
4121.jpg,[],18-02-20,14:38,52.3555595,4.8689025,18-02-20 14:38
13880.jpg,"['0 0.757407 0.471217 0.0296296 0.175987\n', '0 0.239815 0.493421 0.0203704 0.105263\n', '0 0.697222 0.422697 0.0296296 0.0921053\n', '0 0.648611 0.435855 0.0435185 0.200658\n']",18-02-20,14:39,52.3566632,4.8730494,18-02-20 14:39
3147.jpg,[],18-02-20,14:39,52.3562072,4.8712754,18-02-20 14:39
17785.jpg,[],18-02-20,14:39,52.3569642,4.8741986,18-02-20 14:39
6763.jpg,[],18-02-20,14:41,52.3580188,4.8782981,18-02-20 14:41
19074.jpg,['0 0.0310185 0.513158 0.0157407 0.0822368\n'],18-02-20,14:44,52.3541176,4.8842352,18-02-20 14:44
3373.jpg,[],18-02-20,14:46,52.3542642,4.8813812,18-02-20 14:46
20322.jpg,[],18-02-20,14:47,52.3547297,4.8831011,18-02-20 14:47
11407.jpg,['0 0.489352 0.644737 0.0787037 0.148026\n'],18-02-20,14:48,52.3545925,4.8864632,18-02-20 14:48
11312.jpg,[],18-02-20,14:49,52.3557286,4.8839375,18-02-20 14:49
20154.jpg,[],18-02-20,14:49,52.35635,4.8840166,18-02-20 14:49
23120.jpg,[],18-02-20,14:50,52.3586696,4.8848794,18-02-20 14:50
10055.jpg,[],18-02-20,14:54,52.3582807,4.8787438,18-02-20 14:54
7972.jpg,"['0 0.381944 0.523026 0.0416667 0.180921\n', '0 0.142593 0.464638 0.0388889 0.0871711\n', '1 0.8347222222222223 0.5962171052631579 0.010185185185185186 0.05098684210526316\n', '1 0.8027777777777778 0.5953947368421053 0.009259259259259259 0.03618421052631579\n']",18-02-20,14:54,52.3584667,4.8795667,18-02-20 14:54
10774.jpg,"['0 0.248148 0.399671 0.0462963 0.0953947\n', '0 0.661111 0.635691 0.0444444 0.373355\n', '0 0.513426 0.634868 0.0898148 0.391447\n', '0 0.225926 0.410362 0.0888889 0.116776\n', '0 0.42963 0.759868 0.0537037 0.355263\n', '1 0.3560185185185185 0.48273026315789475 0.028703703703703703 0.014802631578947368\n', '1 0.23842592592592593 0.6957236842105263 0.1287037037037037 0.46710526315789475\n']",18-02-20,14:55,52.3547063,4.8810575,18-02-20 14:55
9193.jpg,[],18-02-20,14:55,52.3564486,4.8796931,18-02-20 14:55
6877.jpg,[],18-02-20,14:56,52.3529724,4.881954,18-02-20 14:56
2884.jpg,[],18-02-20,15:01,52.3462318,4.865457,18-02-20 15:01
9975.jpg,[],18-02-20,15:01,52.3466988,4.8654406,18-02-20 15:01
23808.jpg,[],18-02-20,15:04,52.350862,4.8532727,18-02-20 15:04
12909.jpg,['1 0.2412037037037037 0.5098684210526315 0.019444444444444445 0.049342105263157895\n'],18-02-20,15:07,52.3440933,4.841547,18-02-20 15:07
8073.jpg,[],18-02-20,15:07,52.3440721,4.8421021,18-02-20 15:07
