new_filename,lighting_level,garbage,bulkywaste,garbagebag,cardboard,litter
14740.jpg,low_light,0,0,0,0,0
23715.jpg,high_light,0,0,0,0,0
21082.jpg,high_light,1,0,0,1,0
3722.jpg,low_light,1,0,1,0,0
19461.jpg,high_light,0,0,0,0,0
11555.jpg,medium_light,0,0,0,0,0
13040.jpg,medium_light,0,0,0,0,0
23430.jpg,low_light,1,0,0,1,1
5960.jpg,high_light,0,0,0,0,0
14231.jpg,high_light,1,0,0,0,1
22248.jpg,low_light,1,1,0,1,0
18740.jpg,low_light,0,0,0,0,0
16070.jpg,low_light,1,1,0,0,0
12953.jpg,high_light,1,0,0,0,1
18254.jpg,high_light,0,0,0,0,0
3485.jpg,medium_light,0,0,0,0,0
2578.jpg,high_light,0,0,0,0,0
12647.jpg,medium_light,0,0,0,0,0
9118.jpg,low_light,0,0,0,0,0
6169.jpg,low_light,1,1,0,1,0
12057.jpg,medium_light,0,0,0,0,0
24344.jpg,high_light,0,0,0,0,0
6190.jpg,low_light,0,0,0,0,0
24327.jpg,high_light,0,0,0,0,0
23334.jpg,medium_light,0,0,0,0,0
20821.jpg,low_light,0,0,0,0,0
18831.jpg,medium_light,0,0,0,0,0
403.jpg,medium_light,0,0,0,0,0
7001.jpg,high_light,0,0,0,0,0
15421.jpg,medium_light,1,1,0,1,0
16600.jpg,medium_light,0,0,0,0,0
6115.jpg,medium_light,0,0,0,0,0
16220.jpg,high_light,0,0,0,0,0
2273.jpg,medium_light,0,0,0,0,0
3730.jpg,medium_light,0,0,0,0,0
10299.jpg,high_light,0,0,0,0,0
10458.jpg,high_light,0,0,0,0,0
20822.jpg,high_light,0,0,0,0,0
10550.jpg,low_light,0,0,0,0,0
3902.jpg,high_light,0,0,0,0,0
6269.jpg,high_light,0,0,0,0,0
12314.jpg,medium_light,0,0,0,0,0
5580.jpg,high_light,1,0,0,0,1
8968.jpg,high_light,1,0,0,0,1
8766.jpg,high_light,0,0,0,0,0
23454.jpg,low_light,0,0,0,0,0
14971.jpg,high_light,0,0,0,0,0
10226.jpg,low_light,1,1,0,1,1
988.jpg,high_light,0,0,0,0,0
12883.jpg,medium_light,1,0,0,0,1
19131.jpg,medium_light,0,0,0,0,0
15171.jpg,low_light,1,1,1,0,0
22039.jpg,low_light,1,1,0,0,0
21913.jpg,low_light,1,0,0,1,1
20272.jpg,low_light,1,0,0,1,0
3678.jpg,high_light,0,0,0,0,0
10997.jpg,medium_light,0,0,0,0,0
8764.jpg,low_light,1,1,0,0,1
558.jpg,low_light,1,1,0,1,0
4753.jpg,low_light,1,0,0,1,1
6671.jpg,low_light,0,0,0,0,0
23793.jpg,medium_light,1,0,0,0,1
15747.jpg,high_light,0,0,0,0,0
11291.jpg,high_light,0,0,0,0,0
13850.jpg,medium_light,1,0,0,0,1
7959.jpg,high_light,0,0,0,0,0
10309.jpg,medium_light,1,1,0,0,0
16671.jpg,low_light,1,1,0,0,0
9527.jpg,low_light,1,1,0,1,1
8901.jpg,high_light,0,0,0,0,0
16634.jpg,medium_light,1,1,0,1,1
24564.jpg,high_light,0,0,0,0,0
19610.jpg,high_light,0,0,0,0,0
5853.jpg,medium_light,1,1,1,1,0
12640.jpg,low_light,0,0,0,0,0
10614.jpg,high_light,1,0,0,1,0
13096.jpg,high_light,0,0,0,0,0
17937.jpg,medium_light,1,0,1,0,1
14733.jpg,high_light,0,0,0,0,0
10699.jpg,high_light,0,0,0,0,0
13326.jpg,high_light,0,0,0,0,0
18722.jpg,low_light,1,1,1,0,0
19205.jpg,high_light,0,0,0,0,0
15796.jpg,low_light,1,1,0,0,0
14738.jpg,low_light,0,0,0,0,0
13934.jpg,medium_light,1,1,0,0,0
23557.jpg,high_light,0,0,0,0,0
12035.jpg,medium_light,0,0,0,0,0
19662.jpg,medium_light,1,1,0,0,0
46.jpg,medium_light,1,0,0,1,1
15274.jpg,high_light,1,1,0,1,1
18143.jpg,high_light,1,1,0,1,0
16463.jpg,medium_light,0,0,0,0,0
1224.jpg,medium_light,1,0,0,0,1
19178.jpg,medium_light,0,0,0,0,0
20021.jpg,medium_light,0,0,0,0,0
2229.jpg,medium_light,1,1,1,0,0
23915.jpg,low_light,0,0,0,0,0
24721.jpg,high_light,1,1,0,0,0
12385.jpg,low_light,0,0,0,0,0
5041.jpg,low_light,1,0,1,0,0
20569.jpg,low_light,1,0,0,1,0
20896.jpg,medium_light,1,0,1,1,1
9023.jpg,high_light,0,0,0,0,0
