new_filename,lighting_level,garbage,bulkywaste,garbagebag,cardboard,litter,lighting_id
5587.jpg,high_light,0,0,0,0,0,2
24277.jpg,high_light,0,0,0,0,0,2
20557.jpg,medium_light,0,0,0,0,0,1
2201.jpg,low_light,0,0,0,0,0,0
24031.jpg,low_light,0,0,0,0,0,0
20833.jpg,medium_light,0,0,0,0,0,1
13339.jpg,medium_light,0,0,0,0,0,1
1768.jpg,medium_light,1,0,0,1,0,1
14394.jpg,low_light,0,0,0,0,0,0
15411.jpg,low_light,1,0,0,0,1,0
13608.jpg,medium_light,1,0,0,1,0,1
8859.jpg,low_light,1,1,0,1,1,0
1566.jpg,low_light,0,0,0,0,0,0
9051.jpg,medium_light,0,0,0,0,0,1
8534.jpg,medium_light,0,0,0,0,0,1
10443.jpg,high_light,0,0,0,0,0,2
7418.jpg,medium_light,0,0,0,0,0,1
16147.jpg,high_light,0,0,0,0,0,2
263.jpg,low_light,0,0,0,0,0,0
24988.jpg,medium_light,0,0,0,0,0,1
19681.jpg,medium_light,0,0,0,0,0,1
24550.jpg,low_light,0,0,0,0,0,0
12284.jpg,high_light,0,0,0,0,0,2
3434.jpg,low_light,1,1,0,0,0,0
14358.jpg,high_light,0,0,0,0,0,2
4167.jpg,high_light,0,0,0,0,0,2
5540.jpg,medium_light,0,0,0,0,0,1
15703.jpg,medium_light,0,0,0,0,0,1
9829.jpg,low_light,0,0,0,0,0,0
11336.jpg,high_light,0,0,0,0,0,2
9486.jpg,high_light,0,0,0,0,0,2
21546.jpg,low_light,1,1,0,1,0,0
10550.jpg,medium_light,0,0,0,0,0,1
5008.jpg,medium_light,0,0,0,0,0,1
16272.jpg,high_light,0,0,0,0,0,2
17631.jpg,high_light,0,0,0,0,0,2
7894.jpg,medium_light,0,0,0,0,0,1
8629.jpg,low_light,0,0,0,0,0,0
7627.jpg,medium_light,0,0,0,0,0,1
3998.jpg,medium_light,1,0,0,0,1,1
16751.jpg,low_light,0,0,0,0,0,0
8496.jpg,high_light,1,0,0,0,1,2
21326.jpg,high_light,0,0,0,0,0,2
5886.jpg,low_light,1,0,0,0,1,0
1245.jpg,high_light,1,1,0,0,0,2
21220.jpg,medium_light,1,0,1,1,0,1
8205.jpg,medium_light,1,1,0,1,0,1
24686.jpg,medium_light,0,0,0,0,0,1
18882.jpg,high_light,0,0,0,0,0,2
19483.jpg,low_light,0,0,0,0,0,0
12570.jpg,medium_light,1,1,0,1,0,1
23985.jpg,low_light,1,0,1,1,1,0
21547.jpg,medium_light,0,0,0,0,0,1
23399.jpg,medium_light,0,0,0,0,0,1
7096.jpg,high_light,0,0,0,0,0,2
3490.jpg,medium_light,0,0,0,0,0,1
11802.jpg,low_light,1,1,1,1,1,0
5298.jpg,low_light,1,0,0,0,1,0
9818.jpg,medium_light,1,1,0,1,1,1
23627.jpg,medium_light,1,0,0,1,1,1
11617.jpg,high_light,1,1,1,1,0,2
6226.jpg,high_light,0,0,0,0,0,2
17458.jpg,low_light,0,0,0,0,0,0
11778.jpg,medium_light,0,0,0,0,0,1
24156.jpg,medium_light,1,0,0,0,1,1
18002.jpg,medium_light,0,0,0,0,0,1
24307.jpg,medium_light,1,0,0,1,0,1
19918.jpg,low_light,0,0,0,0,0,0
6053.jpg,low_light,0,0,0,0,0,0
6381.jpg,high_light,0,0,0,0,0,2
21933.jpg,low_light,1,0,0,1,0,0
20123.jpg,medium_light,1,0,0,1,1,1
3676.jpg,medium_light,1,1,0,1,1,1
1660.jpg,high_light,0,0,0,0,0,2
22412.jpg,low_light,0,0,0,0,0,0
4711.jpg,medium_light,0,0,0,0,0,1
6524.jpg,low_light,1,1,0,1,0,0
16701.jpg,high_light,0,0,0,0,0,2
1752.jpg,high_light,0,0,0,0,0,2
23215.jpg,high_light,1,0,0,0,1,2
24670.jpg,high_light,1,1,0,0,0,2
15688.jpg,low_light,1,1,1,1,1,0
6361.jpg,low_light,0,0,0,0,0,0
16073.jpg,high_light,0,0,0,0,0,2
4431.jpg,high_light,0,0,0,0,0,2
6045.jpg,high_light,1,1,0,1,0,2
6952.jpg,high_light,0,0,0,0,0,2
15246.jpg,high_light,0,0,0,0,0,2
6717.jpg,low_light,1,0,0,0,1,0
13686.jpg,medium_light,0,0,0,0,0,1
20766.jpg,high_light,0,0,0,0,0,2
1524.jpg,medium_light,0,0,0,0,0,1
4977.jpg,low_light,1,0,0,0,1,0
24722.jpg,high_light,0,0,0,0,0,2
6087.jpg,high_light,0,0,0,0,0,2
9651.jpg,low_light,1,1,0,0,0,0
23922.jpg,low_light,1,1,0,0,0,0
11379.jpg,low_light,0,0,0,0,0,0
9228.jpg,high_light,0,0,0,0,0,2
7106.jpg,medium_light,1,1,0,1,1,1
13380.jpg,medium_light,0,0,0,0,0,1
1424.jpg,medium_light,1,0,0,0,1,1
6334.jpg,high_light,0,0,0,0,0,2
17658.jpg,low_light,0,0,0,0,0,0
23756.jpg,medium_light,1,0,0,1,1,1
21714.jpg,medium_light,0,0,0,0,0,1
10291.jpg,medium_light,1,0,1,1,0,1
9478.jpg,high_light,0,0,0,0,0,2
844.jpg,low_light,1,0,0,1,1,0
13503.jpg,medium_light,1,0,0,0,1,1
13974.jpg,high_light,1,0,0,1,1,2
2516.jpg,low_light,1,0,0,1,1,0
4802.jpg,high_light,0,0,0,0,0,2
14079.jpg,medium_light,0,0,0,0,0,1
9011.jpg,low_light,0,0,0,0,0,0
12201.jpg,medium_light,0,0,0,0,0,1
23984.jpg,medium_light,1,0,0,1,0,1
14287.jpg,medium_light,0,0,0,0,0,1
22276.jpg,high_light,1,0,0,0,1,2
10086.jpg,high_light,0,0,0,0,0,2
5624.jpg,low_light,0,0,0,0,0,0
12240.jpg,low_light,0,0,0,0,0,0
24987.jpg,medium_light,0,0,0,0,0,1
1387.jpg,medium_light,1,0,0,0,1,1
1071.jpg,low_light,0,0,0,0,0,0
327.jpg,high_light,0,0,0,0,0,2
14345.jpg,high_light,1,0,0,1,0,2
24893.jpg,high_light,0,0,0,0,0,2
6438.jpg,low_light,0,0,0,0,0,0
21290.jpg,low_light,0,0,0,0,0,0
6652.jpg,high_light,0,0,0,0,0,2
2845.jpg,low_light,1,1,0,0,1,0
17263.jpg,low_light,0,0,0,0,0,0
357.jpg,medium_light,0,0,0,0,0,1
22910.jpg,medium_light,1,0,0,1,0,1
17580.jpg,low_light,0,0,0,0,0,0
11345.jpg,medium_light,1,0,0,1,0,1
12338.jpg,high_light,1,0,0,0,1,2
9928.jpg,medium_light,0,0,0,0,0,1
3555.jpg,low_light,1,1,0,0,0,0
4179.jpg,medium_light,1,1,0,0,1,1
11473.jpg,high_light,1,1,0,1,1,2
15934.jpg,medium_light,0,0,0,0,0,1
18121.jpg,high_light,0,0,0,0,0,2
18066.jpg,high_light,0,0,0,0,0,2
7884.jpg,high_light,0,0,0,0,0,2
8730.jpg,low_light,1,1,1,1,0,0
2647.jpg,high_light,1,0,0,1,0,2
9484.jpg,high_light,0,0,0,0,0,2
20775.jpg,high_light,0,0,0,0,0,2
11702.jpg,medium_light,1,1,0,1,1,1
21808.jpg,low_light,1,1,1,1,1,0
11570.jpg,medium_light,0,0,0,0,0,1
11406.jpg,medium_light,0,0,0,0,0,1
16287.jpg,high_light,0,0,0,0,0,2
6659.jpg,medium_light,0,0,0,0,0,1
5853.jpg,medium_light,1,1,1,1,0,1
11628.jpg,medium_light,1,0,0,0,1,1
12162.jpg,high_light,0,0,0,0,0,2
19414.jpg,medium_light,1,0,0,1,0,1
12349.jpg,high_light,0,0,0,0,0,2
3347.jpg,medium_light,1,0,0,1,0,1
19375.jpg,medium_light,1,1,0,0,1,1
18834.jpg,medium_light,0,0,0,0,0,1
20122.jpg,high_light,0,0,0,0,0,2
7015.jpg,low_light,0,0,0,0,0,0
15237.jpg,medium_light,1,1,1,0,0,1
19961.jpg,low_light,0,0,0,0,0,0
3130.jpg,medium_light,1,1,0,1,1,1
23423.jpg,high_light,0,0,0,0,0,2
2127.jpg,high_light,1,0,0,1,1,2
8727.jpg,medium_light,0,0,0,0,0,1
10037.jpg,medium_light,1,1,0,0,0,1
6290.jpg,high_light,0,0,0,0,0,2
8190.jpg,medium_light,0,0,0,0,0,1
4562.jpg,low_light,1,1,0,1,0,0
21852.jpg,high_light,1,0,0,0,1,2
16508.jpg,medium_light,0,0,0,0,0,1
14674.jpg,low_light,1,1,0,1,1,0
22433.jpg,low_light,1,1,0,0,0,0
17067.jpg,medium_light,1,0,0,1,1,1
16901.jpg,high_light,0,0,0,0,0,2
14443.jpg,medium_light,0,0,0,0,0,1
5603.jpg,high_light,0,0,0,0,0,2
22770.jpg,low_light,1,1,0,0,0,0
20598.jpg,high_light,0,0,0,0,0,2
8772.jpg,high_light,0,0,0,0,0,2
1231.jpg,low_light,0,0,0,0,0,0
11129.jpg,medium_light,0,0,0,0,0,1
19562.jpg,high_light,0,0,0,0,0,2
4604.jpg,low_light,0,0,0,0,0,0
5213.jpg,medium_light,1,1,0,1,1,1
21569.jpg,medium_light,1,0,0,1,0,1
11954.jpg,low_light,1,0,0,1,0,0
24882.jpg,medium_light,1,0,0,0,1,1
7357.jpg,high_light,0,0,0,0,0,2
8890.jpg,high_light,0,0,0,0,0,2
3874.jpg,high_light,0,0,0,0,0,2
24820.jpg,medium_light,0,0,0,0,0,1
11055.jpg,medium_light,0,0,0,0,0,1
6679.jpg,high_light,0,0,0,0,0,2
5339.jpg,medium_light,1,1,1,1,1,1
10898.jpg,medium_light,1,0,0,1,0,1
5080.jpg,low_light,0,0,0,0,0,0
11675.jpg,high_light,0,0,0,0,0,2
13609.jpg,low_light,1,1,0,1,0,0
20728.jpg,low_light,0,0,0,0,0,0
7824.jpg,medium_light,1,1,0,0,0,1
17534.jpg,low_light,0,0,0,0,0,0
8857.jpg,low_light,0,0,0,0,0,0
9326.jpg,high_light,0,0,0,0,0,2
16636.jpg,high_light,0,0,0,0,0,2
23988.jpg,high_light,0,0,0,0,0,2
14359.jpg,medium_light,0,0,0,0,0,1
16192.jpg,medium_light,1,1,0,0,0,1
24593.jpg,medium_light,1,0,0,1,1,1
1552.jpg,low_light,0,0,0,0,0,0
21789.jpg,medium_light,0,0,0,0,0,1
14720.jpg,medium_light,0,0,0,0,0,1
14583.jpg,high_light,0,0,0,0,0,2
12013.jpg,low_light,0,0,0,0,0,0
13208.jpg,low_light,0,0,0,0,0,0
18900.jpg,medium_light,0,0,0,0,0,1
117.jpg,low_light,0,0,0,0,0,0
6370.jpg,high_light,0,0,0,0,0,2
18799.jpg,high_light,0,0,0,0,0,2
6354.jpg,high_light,1,0,1,1,0,2
